Word	IPA transcription
залегнал	z a l e ɡ n ɐ ɫ
меценат	m e t s e n a t
радикално	r ɐ d i k a ɫ n o
вярвания	vʲ ɐ r v a n i j ɐ
мартеницата	m ɐ r t e n i t s a t ɐ
своеобразен	s v o e o b r a z e n
злите	z l i t e
наближат	n a b l i ʒ ɐ t
изплуват	i s p ɫ u v ɐ t
повърхността	p o v ə r x n o s t̪ ɐ
имитирайки	i m i t i r a j k i
загрижеността	z ɐ ɡ r i ʒ e n o s t̪ ɐ
сложат	s ɫ o ʒ ɐ t
предложение	p r e d ɫ o ʒ e n i e
придвижат	p r i d v i ʒ ɐ t
еднодневния	e d n o d n e v n i j ɐ
улесни	u l e s n i
контрагентите	k o n t r ɐ ɡ e n t i t e
предотвратяването	p r e d o t v r ɐ tʲ ɐ v a n e t o
възможната	v ə z m o ʒ n a t ɐ
хладна	x ɫ a d n ɐ
охранява	o x r a ɲ a v ɐ
детски	d e t s k i
сираци	s i r a t s i
паркове	p a r k o v e
подлези	p o d l e z i
гробищни	ɡ r o b i ʃ t n i
ненко	n e n k o
темелков	t e m e ɫ k o f
Футболен	f u d b o l e n
Комуналстрой	k o m u n a ɫ s t r o j
по-негативно	p o n e ɡ a t i v n o
страшно	s t r a ʃ n o
пребиваващи	p r e b i v a v a ʃ t i
печатните	p e t ʃ a t n i t e
меморандум	m e m o r a n d u m
Колежа	k o l e ʒ ɐ
Фонтис	f o n t i s
казваме	k a z v a m e
давност	d a v n o s t
престъпленията	p r e s t ə p l e n i j a t ɐ
реабилитацията	r e ɐ b i l i t a t s i ɐ t ɐ
репресивния	r e p r e s i v n i j ɐ
апарат	ɐ p a r a t
сплотен	s p ɫ o t e n
дистанцията	d i s t ɐ n t s i j a t ɐ
специалният	s p e t s i a ɫ n i j ɐ t
интелигентно	i n t e l i ɡ e n t n o
земетръс	z e m e t r ə s
индивидуалните	i n d i v i d u a ɫ n i t e
съставляват	s ə s t a v l a v ɐ t
подпомогнати	p o t p o m o ɡ n a t i
пенсионната	p e n s i o n n a t ɐ
безработицата	b e z r ɐ b o t i t s a t ɐ
спретнат	s p r e t n ɐ t
страстен	s t r a s t e n
европеец	e v r o p e e t s
предизвикателствата	p r e d i z v i k ɐ t e ɫ s t v a t ɐ
форсмажорни	f o r s m a ʒ o r n i
означавало	o z n ɐ t ʃ a v a ɫ o
изплащат	i s p ɫ a ʃ t ɐ t
оказват	o k a z v ɐ t
писта	p i s t ɐ
въздушния	v ə z d u ʃ n i j ɐ
порт	p o r t
виждаха	v i ʒ d a x ɐ
откровен	o t k r o v e n
обичам	o b i t ʃ ɐ m
вярвам	vʲ a r v ɐ m
спечеля	s p e t ʃ e l ɐ
приятелството	p r i j ɐ t e ɫ s t v o t o
порицание	p o r i t s a n i e
срамежливите	s r ɐ m e ʒ l i v i t e
явиха	j a v i x ɐ
посланици	p o s ɫ a n i t s i
Юлиана	j u l i a n ɐ
Тончева	t o n t ʃ e v ɐ
издигнала	i z d i ɡ n a ɫ ɐ
номинирани	n o m i n i r a n i
отвод	o t v o t
проектант	p r o e k t a n t
бял	bʲ a ɫ
кахър	k a x ə r
поканите	p o k a n i t e
изпратени	i s p r a t e n i
петдневно	p e d d n e v n o
закъснение	z ɐ k ə s n e n i e
по-съществено	p o s ə ʃ t e s t v e n o
извънредното	i z v ə n r e d n o t o
Фрадков	f r a t k o f
дисциплина	d i s t s i p l i n ɐ
изтерзаната	i s t e r z a n a t ɐ
хранилище	x r a n i l i ʃ t e
препълнено	p r e p ə ɫ n e n o
Букарев	b u k a r e f
склони	s k ɫ o n i
неприятната	n e p r i j a t n a t ɐ
перспектива	p e r s p e k t i v ɐ
засегне	z a s e ɡ n e
стабилността	s t ɐ b i ɫ n o s t̪ ɐ
местния	m e s t n i j ɐ
включваща	f k l u t ʃ v a ʃ t ɐ
сондажи	s o n d a ʒ i
жизнеспособност	ʒ i z n e s p o s o b n o s t
ръцете	r ə t s e t e
дойдат	d o j d ɐ t
пречки	p r e t ʃ k i
недвижимости	n e d v i ʒ i m o s t i
битови	b i t o v i
метал	m e t a ɫ
намирало	n ɐ m i r a ɫ o
представените	p r e t s t ɐ v e n i t e
преминала	p r e m i n a ɫ ɐ
контактите	k o n t a k t i t e
НЕК	n e k
Елазаров	e ɫ a z a r o f
казани	k a z a n i
дванадесети	d v ɐ n ɐ d e s e t i
годишните	ɡ o d i ʃ n i t e
мартеници	m ɐ r t e n i t s i
информации	i n f o r m a t s i i
Здравната	z d r a v n a t ɐ
лукс	ɫ u k s
спедиторския	s p e d i t o r s k i j ɐ
ратифициран	r ɐ t i f i t s i r ɐ n
Осмай	o s m ɐ j
икономистът	i k o n o m i s t ə t
анализаторското	ɐ n ɐ l i z ɐ t o r s k o t o
звено	z v e n o
Стоев	s t o e f
Кавалджиев	k ɐ v a ɫ d ʒ i e f
изневери	i z n e v e r i
нейна	n e j n ɐ
Мастило	m a s t i ɫ o
Костова	k o s t o v ɐ
Дани	d a n i
Огнянов	o ɡ ɲ a n o f
цар-премиер	t s a r p r e m i e r
предоставен	p r e d o s t a v e n
любимият	l u b i m i j ɐ t
мерцедес	m e r t s e d e s
изработен	i z r a b o t e n
отсъстват	o t s ə s t v ɐ t
конкретен	k o n k r e t e n
приложен	p r i ɫ o ʒ e n
Маастрихт	m a a s t r i x t
Ница	n i t s ɐ
актуалната	ɐ k t u a ɫ n a t ɐ
сублицензия	s u b l i t s e n z i j ɐ
награда	n a ɡ r a d ɐ
гларусът	ɡ ɫ a r u s ə t
Приморско	p r i m o r s k o
Зелена	z e l e n ɐ
най-критично	n a j k r i t i t ʃ n o
настроен	n a s t r o e n
обърната	o b ə r n a t ɐ
председателство	p r e t s e d a t e l s t v o
персоналните	p e r s o n a ɫ n i t e
бдят	b dʲ a t
данева	d a n e v ɐ
впише	f p i ʃ e
Сортовата	s o r t o v a t ɐ
консервната	k o n s e r v n a t ɐ
чеченските	t ʃ e t ʃ e n s k i t e
сепаратисти	s e p ɐ r a t i s t i
Аслан	a s ɫ ɐ n
Масхадов	m a s x a d o f
убит	u b i t
сепицална	s e p i t s a ɫ n ɐ
федерални	f e d e r a ɫ n i
погледнем	p o ɡ l e d n e m
паяжината	p ɐ j ɐ ʒ i n a t ɐ
преплитането	p r e p l i t a n e t o
печелене	p e t ʃ e l e n e
Християндемократическият	x r i s t i j ɐ n d e m o k r ɐ t i t ʃ e s k i j ɐ t
основна	o s n o v n ɐ
амбиция	ɐ m b i t s i j ɐ
изтеглен	i s t e ɡ l e n
обнови	o b n o v i
изпращането	i s p r ɐ ʃ t a n e t o
Лукашенко	ɫ u k a ʃ e n k o
декора	d e k o r ɐ
цвята	t s vʲ a t ɐ
унисон	u n i s o n
характера	x ɐ r a k t e r ɐ
Дорич	d o r i t ʃ
славно	s ɫ a v n o
удобно	u d o b n o
столичният	s t o l i t ʃ n i j ɐ t
сбогува	z b o ɡ u v ɐ
пръсти	p r ə s t i
оказало	o k a z a ɫ o
негативно	n e ɡ a t i v n o
приходите	p r i x o d i t e
скандалноизвестния	s k ɐ n d ɐ ɫ n o i z v e s t n i j ɐ
източване	i s t o t ʃ v a n e
ДДС	d ə d ə s ə
Цанко	t s a n k o
Дренски	d r e n s k i
избраната	i z b r a n a t ɐ
езикова	e z i k o v ɐ
Две	d v e
усвоен	u s v o e n
комплекта	k o m p l e k t ɐ
учебник	u t ʃ e b n i k
тетрадка	t e t r a t k ɐ
методологично	m e t o d o ɫ o ɡ i t ʃ n o
компакт	k o m p ɐ k t
диска	d i s k ɐ
аудиокасети	ɐ u d i o k a s e t i
преизчислено	p r e i s t ʃ i s l e n o
наблюдаваните	n ɐ b l u d ɐ v a n i t e
фактори	f a k t o r i
заетостта	z ɐ e t o s t̪ ɐ
експанзия	e k s p a n z i j ɐ
бизнеси	b i z n e s i
акумулираните	ɐ k u m u l i r a n i t e
отопление	o t o p l e n i e
куриерски	k u r i e r s k i
много-кратно	m n o ɡ o k r a t n o
надвишават	n ɐ d v i ʃ a v ɐ t
плащали	p ɫ a ʃ t a l i
административна	ɐ d m i n i s t r a t i v n ɐ
сграда	z ɡ r a d ɐ
единствени	e d i n s t v e n i
определяме	o p r e d e l a m e
предшествана	p r e t ʃ e s t v a n ɐ
подготви	p o d ɡ o t v i
седемдесетия	s e d e m d e s e t i j ɐ
рожден	r o ʒ d e n
попадна	p o p a d n ɐ
проведените	p r o v e d e n i t e
лишиха	l i ʃ i x ɐ
осигурителен	o s i ɡ u r i t e l e n
Христосков	x r i s t o s k o f
засвидетелства	z ɐ s v i d e t e ɫ s t v ɐ
мощен	m o ʃ t e n
разпространението	r ɐ s p r o s t r ɐ n e n i e t o
Ковачев	k o v a t ʃ e f
брат	b r a t
действал	d e j s t v ɐ ɫ
сенатор	s e n a t o r
Лантос	ɫ a n t o s
изключена	i s k l u t ʃ e n ɐ
направете	n ɐ p r a v e t e
супа	s u p ɐ
германски	ɡ e r m a n s k i
гамбит	ɡ a m b i t
Китов	k i t o f
Чукарски	t ʃ u k a r s k i
контактната	k o n t a k t n a t ɐ
информирали	i n f o r m i r a l i
курортни	k u r o r t n i
местности	m e s t n o s t i
посещаемост	p o s e ʃ t a e m o s t
корпоративните	k o r p o r ɐ t i v n i t e
изготвяме	i z ɡ o t vʲ a m e
терминология	t e r m i n o ɫ o ɡ i j ɐ
следващ	s l e d v ɐ ʃ t
превод	p r e v o t
улесняват	u l e s ɲ a v ɐ t
провинцията	p r o v i n t s i j a t ɐ
холандското	x o ɫ a n t s k o t o
органите	o r ɡ a n i t e
бавят	b a vʲ ɐ t
почнат	p o t ʃ n ɐ t
консултантската	k o n s u ɫ t a n t s k a t ɐ
Ресткон	r e s t k o n
най-значителната	n a j z n ɐ t ʃ i t e ɫ n a t ɐ
добрингер	d o b r i n ɡ e r
Кофас	k o f ɐ s
интеркредит	i n t e r k r e d i t
проследи	p r o s l e d i
обръщането	o b r ə ʃ t a n e t o
Пилатусите	p i ɫ ɐ t u s i t e
тройно	t r o j n o
завишаване	z ɐ v i ʃ a v a n e
популярни	p o p u l a r n i
посещавани	p o s e ʃ t a v a n i
пациентите	p ɐ t s i e n t i t e
предсрочните	p r e t s r o t ʃ n i t e
гордеем	ɡ o r d e e m
календарна	k ɐ l e n d a r n ɐ
преведохме	p r e v e d o x m e
най-авторитетния	n a j ɐ f t o r i t e t n i j ɐ
годишник	ɡ o d i ʃ n i k
предоставени	p r e d o s t a v e n i
красивите	k r ɐ s i v i t e
гледки	ɡ l e t k i
шведската	ʃ v e t s k a t ɐ
легендарната	l e ɡ e n d a r n a t ɐ
Пипи	p i p i
дългото	d ə ɫ ɡ o t o
чорапче	t ʃ o r a p t ʃ e
Волво	v o ɫ v o
Ериксон	e r i k s o n
Радисън	r a d i s ə n
констатирано	k o n s t ɐ t i r a n o
пристигнал	p r i s t i ɡ n ɐ ɫ
обвинителният	o b v i n i t e ɫ n i j ɐ t
физическа	f i z i t ʃ e s k ɐ
сформираната	s f o r m i r a n a t ɐ
Куку	k u k u
академия	ɐ k ɐ d e m i j ɐ
чертаят	t ʃ e r t a j ɐ t
ляв	l a f
попречи	p o p r e t ʃ i
решаваща	r e ʃ a v a ʃ t ɐ
сформиране	s f o r m i r a n e
подготовката	p o d ɡ o t o f k a t ɐ
примамващи	p r i m a m v a ʃ t i
мекият	m e k i j ɐ t
контракта	k o n t r a k t ɐ
създадено	s ə z d a d e n o
пуснато	p u s n a t o
развием	r a z v i e m
ефективни	e f e k t i v n i
биоактивни	b i o a k t i v n i
протеини	p r o t e i n i
пептиди	p e p t i d i
антиоксиданти	ɐ n t i o k s i d a n t i
разминаха	r ɐ z m i n a x ɐ
различния	r ɐ z l i t ʃ n i j ɐ
професори	p r o f e s o r i
таксиджии	t ɐ k s i d ʒ i i
разроените	r ɐ z r o e n i t e
демонстрираха	d e m o n s t r i r a x ɐ
последователност	p o s l e d o v a t e ɫ n o s t
изградили	i z ɡ r a d i l i
вериги	v e r i ɡ i
Джайънт	d ʒ a j ə n t
фуд	f u t
Сюпърфреш	ʃ u p ə r f r e ʃ
Уол-Март	u o ɫ m a r t
усъмнила	u s ə m n i ɫ ɐ
митничарите	m i t n i t ʃ a r i t e
освободен	o s v o b o d e n
виждаме	v i ʒ d a m e
макроравнище	m ɐ k r o r a v n i ʃ t e
леглата	l e ɡ ɫ a t ɐ
курорта	k u r o r t ɐ
най-тесен	n a j t e s e n
истинските	i s t i n s k i t e
пропаднала	p r o p a d n a ɫ ɐ
председателката	p r e t s e d ɐ t e ɫ k a t ɐ
разтоварва	r ɐ s t o v a r v ɐ
рискована	r i s k o v a n ɐ
високоотговорна	v i s o k o o d ɡ o v o r n ɐ
петчленен	p e t t ʃ l e n e n
изненадата	i z n e n a d a t ɐ
финансовокредитни	f i n ɐ n s o v o k r e d i t n i
наказания	n ɐ k ɐ z a n i j ɐ
нощувката	n o ʃ t u f k a t ɐ
апартамент	ɐ p ɐ r t a m e n t
петзвездния	p e d z v e z d n i j ɐ
Пампорово	p ɐ m p o r o v o
меката	m e k a t ɐ
парична	p a r i t ʃ n ɐ
еврозоната	e v r o z o n a t ɐ
гледната	ɡ l e d n a t ɐ
разминаването	r ɐ z m i n ɐ v a n e t o
констатираните	k o n s t ɐ t i r a n i t e
несъответствия	n e s ə o t v e t s t v i j ɐ
разделя	r a z d e l ɐ
еднакви	e d n a k v i
сместа	s m e s t ɐ
сладко	s ɫ a t k o
кестеново	k e s t e n o v o
плодови	p ɫ o d o v i
кейкове	k e j k o v e
електоралната	e l e k t o r a ɫ n a t ɐ
симпатиите	s i m p ɐ t i i t e
занятията	z ɐ ɲ ɐ t i j a t ɐ
трудят	t r u dʲ ɐ t
Калинов	k a l i n o f
Нихат	n i x ɐ t
Кабил	k a b i ɫ
допълнителна	d o p ə ɫ n i t e ɫ n ɐ
трудова	t r u d o v ɐ
кому	k o m u
стокообмена	s t o k o o b m e n ɐ
Твърде	t v ə r d e
неудобна	n e u d o b n ɐ
простата	p r o s t a t ɐ
изтълкувано	i s t ə ɫ k u v a n o
тогавашния	t o ɡ ɐ v a ʃ n i j ɐ
общинската	o p ʃ t i n s k a t ɐ
Маринов	m a r i n o f
камо	k a m o
лоби	ɫ o b i
врачански	v r a t ʃ a n s k i
подобрения	p o d o b r e n i j ɐ
превърнали	p r e v ə r n a l i
доходоносна	d o x o d o n o s n ɐ
отговоря	o d ɡ o v o rʲ ɐ
различно	r a z l i t ʃ n o
нахрани	n a x r a n i
преяде	p r e j a d e
надмощие	n ɐ d m o ʃ t i e
бъдеща	b ə d e ʃ t ɐ
скандали	s k a n d a l i
Алеко	a l e k o
Кюркчиев	kʲ u r k t ʃ i e f
оглавил	o ɡ ɫ a v i ɫ
бунт	b u n t
цигарите	t s i ɡ a r i t e
ореола	o r e o ɫ ɐ
венценосец	v e n t s e n o s e t s
имитира	i m i t i r ɐ
пищния	p i ʃ t n i j ɐ
рецептите	r e t s e p t i t e
демократическата	d e m o k r ɐ t i t ʃ e s k a t ɐ
нюанс	ɲ u a n s
оранжевото	o r ɐ n ʒ e v o t o
прескачат	p r e s k a t ʃ ɐ t
одисеи	o d i s e i
полигонът	p o l i ɡ o n ə t
Ново	n o v o
село	s e ɫ o
нашумя	n a ʃ u mʲ ɐ
американско-българското	ɐ m e r i k a n s k o b ə ɫ ɡ a r s k o t o
учение	u t ʃ e n i e
Булуарк	b u ɫ u ɐ r k
кажеш	k a ʒ e ʃ
интимни	i n t i m n i
спазени	s p a z e n i
